COMPLETE SPECTRUM OF HD22049.
Uncertainties below are 1sigma from the IUE rereductions,
and are adopted as 5% of F(lambda) for Burnashev and Kurucz
spectra.  Apologies if these are not your favorite units
but last go around I was asked to use W/cm2/nm instead of
my preferred W/cm2/um.  1 W/m2/nm = 100 erg/cm2/s/A.

Wavelen  F(lambda)  UncF(lam)
  um     W/m2/nm    W/m2/nm
0.23490  7.25e-015  1.84e-016
0.23520  7.02e-015  1.79e-016
0.23540  7.07e-015  1.73e-016
0.23570  6.95e-015  1.65e-016
0.23600  7.22e-015  1.70e-016
0.23620  8.61e-015  1.80e-016
0.23650  8.15e-015  1.74e-016
0.23680  8.02e-015  1.79e-016
0.23700  7.45e-015  1.96e-016
0.23730  7.17e-015  1.73e-016
0.23760  7.31e-015  1.79e-016
0.23780  8.33e-015  1.84e-016
0.23810  9.57e-015  1.91e-016
0.23840  1.04e-014  2.00e-016
0.23860  1.10e-014  1.98e-016
0.23890  9.33e-015  1.81e-016
0.23920  9.38e-015  2.28e-016
0.23940  8.57e-015  2.22e-016
0.23970  8.57e-015  1.89e-016
0.24000  8.79e-015  1.78e-016
0.24020  8.83e-015  1.67e-016
0.24050  9.28e-015  1.93e-016
0.24080  9.48e-015  1.86e-016
0.24100  8.88e-015  1.68e-016
0.24130  9.16e-015  1.75e-016
0.24160  8.42e-015  1.59e-016
0.24180  8.07e-015  1.50e-016
0.24210  8.02e-015  1.49e-016
0.24240  9.06e-015  1.82e-016
0.24260  9.09e-015  1.83e-016
0.24290  8.61e-015  1.60e-016
0.24320  9.23e-015  1.70e-016
0.24340  9.72e-015  1.71e-016
0.24370  9.31e-015  1.61e-016
0.24400  8.92e-015  1.73e-016
0.24420  8.94e-015  1.59e-016
0.24450  9.02e-015  1.72e-016
0.24480  8.69e-015  1.56e-016
0.24500  8.49e-015  1.54e-016
0.24530  8.34e-015  1.52e-016
0.24560  8.63e-015  1.49e-016
0.24580  8.72e-015  1.76e-016
0.24610  8.08e-015  1.49e-016
0.24640  7.47e-015  1.36e-016
0.24660  8.11e-015  1.73e-016
0.24690  8.54e-015  1.74e-016
0.24720  8.51e-015  1.54e-016
0.24740  9.50e-015  1.67e-016
0.24770  9.30e-015  1.50e-016
0.24800  8.48e-015  1.53e-016
0.24820  7.99e-015  1.41e-016
0.24850  7.29e-015  1.30e-016
0.24880  7.11e-015  1.42e-016
